song_key,song_title,is_cover,n_plays,n_shows,first_played,last_played,album,n_videos
Hatha Hill,Hatha Hill,False,1,1,2025-09-26,2025-09-26,"Orange Raja, Blood Royal",0
Have Yourself a Merry Little Christmas,Have Yourself a Merry Little Christmas,True,1,1,2011-12-21,2011-12-21,Unreleased,1
Hospital Reaction Shot,Hospital Reaction Shot,False,1,1,2021-09-07,2021-09-07,Hex of Infinite Binding EP,0
He Will Arise,He Will Arise,False,1,1,2013-09-14,2013-09-14,Unreleased,0
Wizard Level,Wizard Level,False,1,1,2016-04-02,2016-04-02,Unreleased,1
Horse and Master,Horse and Master,False,1,1,2010-12-14,2010-12-14,Unreleased,0
Hopeful Assassins of Zeno,Hopeful Assassins of Zeno,False,1,1,2022-08-19,2022-08-19,Songs for Pierre Chuvin,0
Word on a Wing,Word on a Wing,True,1,1,2016-03-31,2016-03-31,Unreleased,0
Wrong!,Wrong!,False,1,1,2014-06-13,2014-06-13,Taking the Dative,0
Yellow Coat,Yellow Coat,False,1,1,2007-06-16,2007-06-16,Unreleased,0
It's Raining Men,It's Raining Men,True,1,1,2011-04-01,2011-04-01,Unreleased,1
Yellow Precious Letter,Yellow Precious Letter,False,1,1,2009-04-03,2009-04-03,Unreleased,0
Accentuate the Positive,Accentuate the Positive,True,1,1,2006-10-01,2006-10-01,Unreleased,1
You Take the High Road,You Take the High Road,False,1,1,1999-01-23,1999-01-23,Unreleased,0
History of the Church (Part 1),History of the Church (Part 1),False,1,1,1992-12-06,1992-12-06,Unreleased,0
You're So Vain,You're So Vain,True,1,1,2024-03-03,2024-03-03,"Hail and Farewell, Gothenburg",0
40 Hours,40 Hours,True,1,1,2012-04-19,2012-04-19,Unreleased,0
You've Got to Have a Mouse in Your Life,You've Got to Have a Mouse in Your Life,False,1,1,2025-09-22,2025-09-22,Unreleased,0
"Here I Am, Lord","Here I Am, Lord",True,1,1,2024-03-01,2024-03-01,Unreleased,0
Young and Endangered,Young and Endangered,False,1,1,2019-05-09,2019-05-09,unreleased,2
25,25,False,1,1,1993-03-07,1993-03-07,Unreleased,0
2/3 Jim's Head,2/3 Jim's Head,True,1,1,2003-09-27,2003-09-27,Unreleased,0
15-2,15-2,False,1,1,1992-10-01,1992-10-01,Unreleased,0
Agemo's Hoops,Agemo's Hoops,False,1,1,1995-04-15,1995-04-15,Unreleased,0
Whon,Whon,False,1,1,2009-06-13,2009-06-13,Unreleased,0
Ain't Misbehavin',Ain't Misbehavin',True,1,1,2018-04-22,2018-04-22,unreleased,0
Who You Are,Who You Are,True,1,1,2014-07-25,2014-07-25,Who You Are,2
Going to Santiago,Going to Santiago,False,1,1,2014-06-14,2014-06-14,Transmissions to Horace,0
Uncle John's Band,Uncle John's Band,True,1,1,2014-01-19,2014-01-19,Unreleased,0
Going to Some Damned English City,Going to Some Damned English City,False,1,1,1996-01-18,1996-01-18,Unreleased,0
Unknown cover song,Unknown cover song,False,1,1,2008-02-19,2008-02-19,Unreleased,0
Going to Spirit Lake,Going to Spirit Lake,False,1,1,1996-03-16,1996-03-16,Unreleased,0
