show_id,note_seq,note
"2007-01-02_-_Club_Capitol_-_Perth,_Australia",3,"John Vanderslice played guitar and sang backup for ""See America Right""."
"2007-11-15_-_The_Empty_Bottle_-_Chicago,_IL",1,"Jon Wurster sang lead vocals on the first version of ""We Bite"", and Peter Hughes sang the reprise."
"1992-05-31_-_Shrimperfest_-_Munchie's,_Pomona,_CA",1,This is the first known perfomance including The Extra Glenns .
"2007-12-08_-_Union_Chapel_-_London,_England",1,""" Abide with Me "" was on the setlist, but John couldn't remember how to play it, so he played ""Jenny"" instead."
"2007-12-08_-_Union_Chapel_-_London,_England",2,Eddie Argos sang on song 13.
"2007-05-11_-_Sound_Fix_-_Brooklyn,_NY",1,Songs 12 through 22 were performed with Franklin Bruno as The Extra Glenns .
"1992-07-18_-_Casa_de_Badger_-_Pomona,_CA",1,"""Casa de Badger"" is a nickname for Franklin Bruno 's house. It is a reference to "" The Badger Song ""."
"2008-02-23_-_Neumo's_-_Seattle,_WA",1,"Ben Gibbard of Death Cab for Cutie joined the band on stage to perform ""Palmcorder Yajna""."
"2009-10-06_-_The_Colbert_Report_-_New_York,_NY",1,This is the band's first televised appearance.
"2009-10-06_-_The_Colbert_Report_-_New_York,_NY",2,Stephen Colbert professed himself a fan.
"2009-10-06_-_The_Colbert_Report_-_New_York,_NY",3,"During the commercial break, Stephen and the band played "" This Year "". It was unaired."
"2000-03-05_-_The_Absolutely_Kosher_House_-_San_Francisco,_CA",1,This was an Extra Glenns show.
"2013-05-01_-_Legends_Club_at_Appalachian_State_University_-_Boone,_NC",1,This was a John Darnielle solo show.
"2013-05-01_-_Legends_Club_at_Appalachian_State_University_-_Boone,_NC",2,Songs 6-9 and 19 were performed on piano; the rest on guitar.
"1995-09-21_-_The_Empty_Bottle_-_Chicago,_IL",1,This was an Extra Glenns show.
"2010-10-22_-_KEXP_Session_-_Ace_Hotel_-_New_York,_NY",1,This was an Extra Glenns show.
"1992-12-13_-_KSPC_Radio_Session_-_Pomona,_CA",1,"According to a Mountain Goats forum thread , this show may also have included the following tracks (which do not appear on the recordings available on MediaFire and on archive.org): Escape to Wild Palm City That Hippolytine Feeling High School Confidential Noche del Guajolote"
"1992-12-13_-_KSPC_Radio_Session_-_Pomona,_CA",2,Escape to Wild Palm City
"1992-12-13_-_KSPC_Radio_Session_-_Pomona,_CA",3,That Hippolytine Feeling
"1992-12-13_-_KSPC_Radio_Session_-_Pomona,_CA",4,High School Confidential
"1992-12-13_-_KSPC_Radio_Session_-_Pomona,_CA",5,Noche del Guajolote
"1999-10-09_-_Crossing_Border_-_Amsterdam,_The_Netherlands",1,John was accompanied by his wife Lalitree on banjo for songs 10 through 12.
"1999-10-09_-_Crossing_Border_-_Amsterdam,_The_Netherlands",2,"The recording of Going to Georgia is somewhat damaged, cutting half of the first line."
"1999-10-09_-_Crossing_Border_-_Amsterdam,_The_Netherlands",3,"The recording of You're in Maya is damaged, cutting some of the verse."
"1999-10-09_-_Crossing_Border_-_Amsterdam,_The_Netherlands",4,"The recording of Standard Bitter Love Song #1 is damaged, cutting the end of the second verse."
"2008-10-13_-_Park_West_-_Chicago,_IL",1,"John 's solo set was songs 7 through 9, and Kaki King played on songs 10 and 11."
"2008-10-14_-_Pabst_Theater_-_Milwaukee,_WI",1,Kaki King performed on songs 10 through 12.
"2008-10-17_-_Bluebird_Theater_-_Denver,_CO",1,Kaki King performed on songs 10 through 13.
"1997-07-16_-_Capitol_Theater_-_Olympia,_WA",1,The recording of song 1 appears on Yoyo A Go Go - Another Live Compilation .
"2008-10-20_-_The_Showbox_-_Seattle,_WA",1,"John 's solo set was songs 6 through 8, and Kaki King played on songs 9 through 12."
"2008-10-20_-_The_Showbox_-_Seattle,_WA",2,"John incorrectly introduced ""1 John 4:16"" as "" Hebrews 11:40 ""."
"2008-10-24_-_The_Fillmore_-_San_Francisco,_CA",1,"John 's solo set was songs 7 through 9, and Kaki King played on songs 10 through 14."
"2008-10-24_-_The_Fillmore_-_San_Francisco,_CA",2,"John and Kaki split lead vocals on ""Black Pear Tree""."
"2008-10-25_-_Troubadour_-_Los_Angeles,_CA",1,"John 's solo set was songs 7 through 9, and Kaki King played on songs 10 through 14."
"2008-10-25_-_Troubadour_-_Los_Angeles,_CA",2,"Rachel Ware sang background vocals for ""This Year""."
"2008-10-25_-_Troubadour_-_Los_Angeles,_CA",3,"""Happy Birthday"" was played for Jon Nall , whose birthday was that day."
"2008-10-26_-_Troubadour_-_Los_Angeles,_CA",1,"John 's solo set was songs 8 through 10, and Kaki King played on songs 11 through 15."
"2008-10-26_-_Troubadour_-_Los_Angeles,_CA",2,"""Houseguest"" featured Kyle Brodie from Nothing Painted Blue on drums."
"1996-09-11_-_Argo_-_Denton,_TX",1,"Alastair Galbraith played violin on a few songs, starting with ""Grendel's Mother""."
"1996-09-11_-_Argo_-_Denton,_TX",2,"John broke a string on ""The Only Thing I Know"", so he played the electric guitar the rest of the show."
"1996-09-11_-_Argo_-_Denton,_TX",3,It was when driving from this show to the next one in California that the seeds for All Hail West Texas were planted in John's head.
"2008-10-29_-_Club_Congress_-_Tucson,_AZ",1,This setlist is missing a few songs from the part with Kaki King .
"2008-10-29_-_Club_Congress_-_Tucson,_AZ",2,John 's solo set was songs 7 through 9.
