city,region,n_shows,lat,lon,matched_name,match_method
Englewood,CO,3,39.64777,-104.98776,Englewood,us_state
Essen,Belgium,1,50.85045,4.34878,Brussels,country
Eugene,OR,3,44.05207,-123.08675,Eugene,us_state
Evanston,IL,7,42.04114,-87.69006,Evanston,us_state
Evansville,IN,1,37.97476,-87.55585,Evansville,us_state
Fairbanks,AK,1,64.83778,-147.71639,Fairbanks,us_state
Falls Church,VA,1,36.85293,-75.97799,Virginia Beach,us_state
Fayetteville,AR,2,36.06258,-94.15743,Fayetteville,us_state
First Avenue,,1,,,,unrecognized_region
Flagstaff,AZ,1,35.19807,-111.65127,Flagstaff,us_state
Fort Collins,CO,4,40.58526,-105.08442,Fort Collins,us_state
Fort Worth,TX,1,32.72541,-97.32085,Fort Worth,us_state
Frankfurt,Germany,1,52.52437,13.41053,Berlin,country
Fremantle,AU,1,-33.86785,151.20732,Sydney,country
Ft. Lauderdale,FL,2,30.33218,-81.65565,Jacksonville,us_state
Gainesville,FL,3,29.65163,-82.32483,Gainesville,us_state
Galesburg,IL,1,40.94782,-90.37124,Galesburg,us_state
Gambier,OH,1,39.96118,-82.99879,Columbus,us_state
George,WA,1,47.60621,-122.33207,Seattle,us_state
Ghent,Belgium,1,50.85045,4.34878,Brussels,country
Gilford,NH,1,42.99564,-71.45479,Manchester,us_state
Glasgow,Scotland,6,55.86515,-4.25763,Glasgow,country
Gothenberg,Sweden,1,59.32938,18.06871,Stockholm,country
Gothenburg,Sweden,3,59.32938,18.06871,Stockholm,country
Graham,NC,4,35.22709,-80.84313,Charlotte,us_state
Grand Rapids,MI,4,42.96336,-85.66809,Grand Rapids,us_state
Green Bay,WI,1,44.51916,-88.01983,Green Bay,us_state
Greensboro,NC,5,36.07264,-79.79198,Greensboro,us_state
Greenville,SC,2,34.85262,-82.39401,Greenville,us_state
Grinnell,IA,2,41.60054,-93.60911,Des Moines,us_state
Groningen,The Netherlands,1,53.21917,6.56667,Groningen,country
Hamilton,NY,1,40.71427,-74.00597,New York City,us_state
Hammondsport,NY,1,40.71427,-74.00597,New York City,us_state
Hampton Bays,NY,1,40.71427,-74.00597,New York City,us_state
Hanover,NH,1,42.99564,-71.45479,Manchester,us_state
Harrisburg,PA,1,40.2737,-76.88442,Harrisburg,us_state
Harrisonburg,VA,1,38.44957,-78.86892,Harrisonburg,us_state
Hartford,CT,2,41.76371,-72.68509,Hartford,us_state
Haverford,PA,1,39.95238,-75.16362,Philadelphia,us_state
Hickory,NC,1,35.73319,-81.3412,Hickory,us_state
Hobart,Australia,1,-42.87936,147.32941,Hobart,country
Hoboken,NJ,1,40.74399,-74.03236,Hoboken,us_state
Holyoke,MA,1,42.20426,-72.6162,Holyoke,us_state
Homer,NY,1,40.71427,-74.00597,New York City,us_state
Honolulu,HI,2,21.30694,-157.85833,Honolulu,us_state
Houston,TX,6,29.76328,-95.36327,Houston,us_state
Huber Heights,OH,1,39.84395,-84.12466,Huber Heights,us_state
Hudson,NY,1,40.71427,-74.00597,New York City,us_state
Huntington,WV,3,38.41925,-82.44515,Huntington,us_state
Huntsville,AL,1,34.7304,-86.58594,Huntsville,us_state
Indianapolis,IN,7,39.76838,-86.15804,Indianapolis,us_state
Iowa City,IA,8,41.66113,-91.53017,Iowa City,us_state
Irvine,CA,2,33.66946,-117.82311,Irvine,us_state
Isle of Palms,SC,1,34.00071,-81.03481,Columbia,us_state
Ithaca,NY,4,42.44063,-76.49661,Ithaca,us_state
Jackson,WY,1,41.13998,-104.82025,Cheyenne,us_state
Jacksonville,FL,2,30.33218,-81.65565,Jacksonville,us_state
Jersey City,NJ,4,40.72816,-74.07764,Jersey City,us_state
Kalamazoo,MI,4,42.29171,-85.58723,Kalamazoo,us_state
Kansas City,MO,3,39.09973,-94.57857,Kansas City,us_state
Katoomba,Australia,1,-33.86785,151.20732,Sydney,country
Katowice,Poland,1,50.25841,19.02754,Katowice,country
Knoxville,TN,5,35.96064,-83.92074,Knoxville,us_state
Kontich,Belgium,1,51.13213,4.44706,Kontich,country
Lancaster,PA,1,40.03788,-76.30551,Lancaster,us_state
Las Cruces,NM,1,32.31232,-106.77834,Las Cruces,us_state
Las Vegas,NV,2,36.17497,-115.13722,Las Vegas,us_state
Lawrence,KS,7,38.97167,-95.23525,Lawrence,us_state
Leeds,England,9,53.79648,-1.54785,Leeds,country
Lewiston,NY,1,40.71427,-74.00597,New York City,us_state
Lexington,KY,2,37.98869,-84.47772,Lexington,us_state
Lincoln,NE,1,40.8,-96.66696,Lincoln,us_state
Linköping,Sweden,1,58.41086,15.62157,Linköping,country
Lisbon,Portugal,1,38.72509,-9.1498,Lisbon,country
Lititz,PA,1,39.95238,-75.16362,Philadelphia,us_state
Little Rock,AR,2,34.74648,-92.28959,Little Rock,us_state
Livermore,CA,2,37.68187,-121.76801,Livermore,us_state
London,England,25,51.50853,-0.12574,London,country
Lorne,Australia,1,-33.86785,151.20732,Sydney,country
Los Angeles,CA,23,34.05223,-118.24368,Los Angeles,us_state
Louisville,KY,6,38.25424,-85.75941,Louisville,us_state
Lubbock,TX,1,33.57786,-101.85517,Lubbock,us_state
Lyons,CO,1,39.73915,-104.9847,Denver,us_state
Madison,WI,7,43.07305,-89.40123,Madison,us_state
Madrid,Spain,2,40.4165,-3.70256,Madrid,country
Manchester,England,8,53.48095,-2.23743,Manchester,country
Maquoketa,IA,2,41.60054,-93.60911,Des Moines,us_state
Marquee Live at Home,,1,,,,unrecognized_region
Melbourne,AU,1,-37.814,144.96332,Melbourne,country
Melbourne,Australia,8,-37.814,144.96332,Melbourne,country
Memphis,TN,2,35.14953,-90.04898,Memphis,us_state
Meredith,Australia,1,-33.86785,151.20732,Sydney,country
Millersville,PA,1,39.95238,-75.16362,Philadelphia,us_state
Millvale,PA,6,39.95238,-75.16362,Philadelphia,us_state
Milton,DE,1,39.74595,-75.54659,Wilmington,us_state
Milwaukee,WI,7,43.0389,-87.90647,Milwaukee,us_state
Minneapolis,MN,9,44.97997,-93.26384,Minneapolis,us_state
Missoula,MT,3,46.87215,-113.994,Missoula,us_state
Mobile,AL,2,30.69436,-88.04305,Mobile,us_state
Montreal,QC,1,43.70643,-79.39864,Toronto,canada
Montreal,Quebec,4,43.70643,-79.39864,Toronto,canada
Mt. Pleasant,SC,1,34.00071,-81.03481,Columbia,us_state
"Munchie's, Pomona",CA,1,34.05223,-118.24368,Los Angeles,us_state
Munhall,PA,1,39.95238,-75.16362,Philadelphia,us_state
Munich,Germany,1,48.13743,11.57549,Munich,country
NPR Tiny Desk Concert,,1,,,,unrecognized_region
Nashville,TN,10,36.16589,-86.78444,Nashville,us_state
New Haven,CT,6,41.30815,-72.92816,New Haven,us_state
New Orleans,LA,5,29.95465,-90.07507,New Orleans,us_state
New York,NY,88,40.71427,-74.00597,New York City,us_state
New York City,NY,4,40.71427,-74.00597,New York City,us_state
Newcastle,Australia,1,-32.92953,151.7801,Newcastle,country
Newcastle,England,1,51.50853,-0.12574,London,country
Newport,RI,1,41.4901,-71.31283,Newport,us_state
Nijmegen,The Netherlands,1,51.8425,5.85278,Nijmegen,country
Norfolk,VA,1,36.84681,-76.28522,Norfolk,us_state
Norman,OK,2,35.22257,-97.43948,Norman,us_state
North Adams,MA,1,42.35843,-71.05977,Boston,us_state
Northampton,MA,8,42.32509,-72.6412,Northampton,us_state
Norwalk,CT,1,41.1176,-73.4079,Norwalk,us_state
Oakland,CA,1,37.80437,-122.2708,Oakland,us_state
Oberlin,OH,1,39.96118,-82.99879,Columbus,us_state
Oklahoma City,OK,4,35.46756,-97.51643,Oklahoma City,us_state
Old Ideas with New Friends Session,,1,,,,unrecognized_region
Olympia,WA,3,47.04491,-122.90169,Olympia,us_state
Omaha,NE,6,41.25626,-95.94043,Omaha,us_state
Orange,CA,1,33.78779,-117.85311,Orange,us_state
Orlando,FL,8,28.53834,-81.37924,Orlando,us_state
Oslo,Norway,3,59.91273,10.74609,Oslo,country
Ottawa,ON,1,45.41117,-75.69812,Ottawa,canada
Ourense,Spain,1,42.33669,-7.86407,Ourense,country
Oxford,MS,2,34.3665,-89.51925,Oxford,us_state
Papillion,NE,1,41.15444,-96.04224,Papillion,us_state
Paris,France,6,48.85341,2.3488,Paris,country
Pawtucket,RI,1,41.87871,-71.38256,Pawtucket,us_state
Pelham,TN,1,36.16589,-86.78444,Nashville,us_state
Penascola,FL,1,30.33218,-81.65565,Jacksonville,us_state
Peoria,IL,1,40.69365,-89.58899,Peoria,us_state
Perth,Australia,6,-31.95224,115.8614,Perth,country
Philadelphia,PA,20,39.95238,-75.16362,Philadelphia,us_state
Phoenix,AZ,4,33.44838,-112.07404,Phoenix,us_state
Pioneertown,CA,1,34.05223,-118.24368,Los Angeles,us_state
Pittsboro,NC,5,35.22709,-80.84313,Charlotte,us_state
Pittsburgh,PA,8,40.44062,-79.99589,Pittsburgh,us_state
Pomona,CA,7,34.05529,-117.75228,Pomona,us_state
Ponte Vedra Beach,FL,1,30.23969,-81.38564,Ponte Vedra Beach,us_state
Portland,ME,5,43.65737,-70.2589,Portland,us_state
Portland,OR,30,45.52345,-122.67621,Portland,us_state
Princeton,NJ,1,40.34872,-74.65905,Princeton,us_state
Providence,RI,4,41.82399,-71.41283,Providence,us_state
Queens,NY,1,40.68149,-73.83652,Queens,us_state
Raleigh,NC,5,35.7721,-78.63861,Raleigh,us_state
Richmond,IN,1,39.82894,-84.89024,Richmond,us_state
Richmond,VA,7,37.55376,-77.46026,Richmond,us_state
Rochester,NY,3,43.15478,-77.61556,Rochester,us_state
Rock Island,IL,1,41.50948,-90.57875,Rock Island,us_state
Rocky Mount,VA,1,36.85293,-75.97799,Virginia Beach,us_state
Roswell,NM,1,33.39437,-104.52491,Roswell,us_state
Royal Oak,MI,1,42.48948,-83.14465,Royal Oak,us_state
Sacramento,CA,1,38.58157,-121.4944,Sacramento,us_state
Saint Louis,MO,1,39.09973,-94.57857,Kansas City,us_state
Saint Paul,MN,1,44.94441,-93.09327,Saint Paul,us_state
Salina,KS,1,38.84028,-97.61142,Salina,us_state
Salisbury,England,1,51.06931,-1.79569,Salisbury,country
Salt Lake City,UT,7,40.76078,-111.89105,Salt Lake City,us_state
San Antonio,TX,4,29.42412,-98.49363,San Antonio,us_state
San Diego,CA,3,32.71571,-117.16472,San Diego,us_state
San Francisco,CA,58,37.77493,-122.41942,San Francisco,us_state
San Luis Obispo,CA,2,35.28275,-120.65962,San Luis Obispo,us_state
San Sebastian,Spain,1,40.4165,-3.70256,Madrid,country
Sanibel,FL,1,30.33218,-81.65565,Jacksonville,us_state
Santa Ana,CA,1,33.74557,-117.86783,Santa Ana,us_state
Santa Barbara,CA,1,34.42083,-119.69819,Santa Barbara,us_state
Santa Fe,NM,3,35.68698,-105.9378,Santa Fe,us_state
Santa Monica,CA,2,34.01949,-118.49138,Santa Monica,us_state
Sarasota,FL,1,27.33643,-82.53065,Sarasota,us_state
Savannah,GA,2,32.08354,-81.09983,Savannah,us_state
Saxapahaw,NC,3,35.22709,-80.84313,Charlotte,us_state
Seaside,FL,1,30.33218,-81.65565,Jacksonville,us_state
Seattle,WA,35,47.60621,-122.33207,Seattle,us_state
Shelburne,VT,1,44.47588,-73.21207,Burlington,us_state
Ships and Dip V,,2,,,,unrecognized_region
Silver Spring,MD,2,38.99067,-77.02609,Silver Spring,us_state
Sioux Falls,SD,2,43.54997,-96.70033,Sioux Falls,us_state
Sligo,Ireland,1,54.26969,-8.46943,Sligo,country
Solana Beach,CA,2,34.05223,-118.24368,Los Angeles,us_state
Somerville,MA,2,42.3876,-71.0995,Somerville,us_state
South Burlington,VT,3,44.46699,-73.17096,South Burlington,us_state
Spokane,WA,3,47.65966,-117.42908,Spokane,us_state
Springfield,IL,1,39.80172,-89.64371,Springfield,us_state
Springfield,MO,2,37.21533,-93.29824,Springfield,us_state
St. Augustine,FL,7,30.33218,-81.65565,Jacksonville,us_state
St. Louis,MO,11,38.62727,-90.19789,St. Louis,us_state
St. Paul,MN,4,44.97997,-93.26384,Minneapolis,us_state
St. Petersburg,FL,3,27.77086,-82.67927,St. Petersburg,us_state
Stockholm,Sweden,4,59.32938,18.06871,Stockholm,country
Swarthmore,PA,2,39.95238,-75.16362,Philadelphia,us_state
Sweden,,1,,,,unrecognized_region
Sydney,AU,1,-33.86785,151.20732,Sydney,country
Sydney,Australia,9,-33.86785,151.20732,Sydney,country
Tallahassee,FL,8,30.43826,-84.28073,Tallahassee,us_state
Tampa,FL,3,27.94752,-82.45843,Tampa,us_state
Tokyo,Japan,4,35.6895,139.69171,Tokyo,country
Toronto,ON,2,43.70643,-79.39864,Toronto,canada
Toronto,Ontario,6,43.70643,-79.39864,Toronto,canada
Toulouse,France,1,43.60426,1.44367,Toulouse,country
Triple J Session,,1,,,,unrecognized_region
Tucson,AZ,4,32.22174,-110.92648,Tucson,us_state
Tulsa,OK,3,36.15398,-95.99277,Tulsa,us_state
Umea,Sweden,1,59.32938,18.06871,Stockholm,country
Urbana,IL,3,40.11059,-88.20727,Urbana,us_state
Utrecht,Netherlands,1,52.09083,5.12222,Utrecht,country
Utrecht,The Netherlands,2,52.09083,5.12222,Utrecht,country
Vancouver,BC,1,49.24966,-123.11934,Vancouver,canada
Vancouver,British Columbia,5,49.24966,-123.11934,Vancouver,canada
Ventura,CA,1,34.27834,-119.29317,Ventura,us_state
Vienna,Austria,1,48.20849,16.37208,Vienna,country
Vienna,VA,1,38.90122,-77.26526,Vienna,us_state
Virginia Beach,VA,2,36.85293,-75.97799,Virginia Beach,us_state
Virtual,,3,,,,unrecognized_region
WTF with Marc Maron Podcast,,1,,,,unrecognized_region
Washington,D.C.,16,38.89511,-77.03637,Washington,us_state
Washington,PA,1,39.95238,-75.16362,Philadelphia,us_state
Watkins Glen,NY,4,40.71427,-74.00597,New York City,us_state
Wellington,NZ,1,-41.28664,174.77557,Wellington,country
Wellington,New Zealand,3,-41.28664,174.77557,Wellington,country
West Columbia,SC,1,33.99349,-81.07398,West Columbia,us_state
West Hollywood,CA,3,34.09001,-118.36174,West Hollywood,us_state
Westerly,RI,1,41.3776,-71.82729,Westerly,us_state
Wichita,KS,1,37.69224,-97.33754,Wichita,us_state
Wilmington,DE,2,39.74595,-75.54659,Wilmington,us_state
Wilmington,NC,2,34.23556,-77.94604,Wilmington,us_state
Winnipeg,Manitoba,1,49.8844,-97.14704,Winnipeg,canada
Winston-Salem,NC,2,36.09986,-80.24422,Winston-Salem,us_state
Woodstock,NY,4,40.71427,-74.00597,New York City,us_state
Worcester,MA,1,42.26259,-71.80229,Worcester,us_state
York,PA,3,39.9626,-76.72774,York,us_state
,,1,,,,no city
