song_key,song_title,n_plays,first_t,first_played,last_played,album,is_cover,opportunities,play_rate,play_rate_shrunk,deep_cut,surprisal
If I Should Fall From Grace With God,If I Should Fall From Grace With God,2,1157,2023-12-01,2024-05-26,Unreleased,True,154,0.012987012987012988,0.014926047509295517,False,4.204647437288893
Stack Em Up,Stack Em Up,2,999,2021-08-06,2021-08-11,unreleased,False,312,0.00641025641025641,0.007822687550052469,False,4.850727106990853
St. Stephen,St. Stephen,2,690,2015-04-12,2017-06-01,Unreleased,True,621,0.00322061191626409,0.004051688403459313,False,5.508621594995034
The Doll Song,The Doll Song,2,7,1992-12-13,1998-10-10,Unreleased,False,1304,0.0015337423312883436,0.0019615802617956343,True,6.234004874571317
Casetino's Nursery,Casetino's Nursery,2,13,1995-01-15,2009-11-14,Unreleased,False,1298,0.0015408320493066256,0.0019705100657188314,True,6.229462853136816
The Garden Song,The Garden Song,2,249,2006-12-02,2024-08-07,The Hound Chronicles,False,1062,0.0018832391713747645,0.0024003070855983548,True,6.032158597480791
Malevolent Seascape Y,Malevolent Seascape Y,2,112,2002-12-07,2008-06-06,Martial Arts Weekend,False,1199,0.0016680567139282735,0.0021305432868067432,True,6.151378267555636
Going to Wisconsin,Going to Wisconsin,2,2,1992-07-18,2024-10-16,The Hound Chronicles,False,1309,0.0015278838808250573,0.0019542003511041533,True,6.237774196787609
Going to Spain,Going to Spain,2,6,1992-12-12,1996-03-16,The Hound Chronicles,False,1305,0.0015325670498084292,0.0019600998238622036,True,6.234759876494687
Lucretia My Reflection,Lucretia My Reflection,2,869,2017-11-12,2017-11-17,Unreleased,True,442,0.004524886877828055,0.005621498412591818,False,5.181157029156103
Heights,Heights,2,556,2012-06-23,2015-06-02,Nothing for Juice,False,755,0.0026490066225165563,0.003351138408538606,True,5.698455167427711
Mountain Goats Busking Song,Mountain Goats Busking Song,2,652,2014-04-16,2016-12-02,Unreleased,False,659,0.0030349013657056147,0.003824937064237732,False,5.56621326563306
Furry's Blues,Furry's Blues,2,129,2003-06-06,2004-08-20,Unreleased,True,1182,0.001692047377326565,0.0021606757625768883,False,6.1373342531695165
