song_key,song_title,n_plays,first_t,first_played,last_played,album,is_cover,opportunities,play_rate,play_rate_shrunk,deep_cut,surprisal
Malted Milk,Malted Milk,1,3,1992-07-22,1992-07-22,Unreleased,False,1308,0.0007645259938837921,0.0012026598393203465,True,6.7232196423060495
Mountain Goats Shirt Song,Mountain Goats Shirt Song,1,189,2005-06-23,2005-06-23,Unreleased,False,1122,0.00089126559714795,0.0013985396380187566,True,6.572326702485626
Malevolent Cityscape X,Malevolent Cityscape X,1,20,1995-09-21,1995-09-21,Infidelity,False,1291,0.000774593338497289,0.0012182549707226698,True,6.7103357960333705
Going to Federal Prison,Going to Federal Prison,1,864,2017-11-06,2017-11-06,Unreleased,False,447,0.0022371364653243847,0.0034199834402942617,True,5.678119569938568
Going to France,Going to France,1,3,1992-07-22,1992-07-22,Unreleased,False,1308,0.0007645259938837921,0.0012026598393203465,True,6.7232196423060495
Love and Marriage,Love and Marriage,1,906,2018-09-07,2018-09-07,Unreleased,True,405,0.0024691358024691358,0.00375795827439393,False,5.583879481194087
Going to Japan,Going to Japan,1,1148,2023-09-19,2023-09-19,Hot Garden Stomp,False,163,0.006134969325153374,0.008727498724685355,False,4.741276465111091
Long Lost to Where No Pathway Goes,Long Lost to Where No Pathway Goes,1,566,2012-09-07,2012-09-07,,True,745,0.0013422818791946308,0.0020877545968855165,False,6.171666146096206
Loch Lomond,Loch Lomond,1,70,1999-01-29,1999-01-29,unreleased,False,1241,0.0008058017727639,0.001266560084549897,True,6.67145064823459
Moth and Worm,Moth and Worm,1,794,2016-12-16,2016-12-16,Unreleased,False,517,0.0019342359767891683,0.0029741755430491997,True,5.817788406778535
Mourn Not the Dead,Mourn Not the Dead,1,1061,2022-05-20,2022-05-20,unreleased,True,250,0.004,0.00591530469117563,False,5.130212271268045
Brave,Brave,1,17,1995-04-19,1995-04-19,Stroke - Songs for Chris Knox,True,1294,0.0007727975270479134,0.001215473566679924,False,6.712621511314226
Nikki Oh Nikki,Nikki Oh Nikki,1,73,1999-07-23,1999-07-23,Unreleased,False,1238,0.0008077544426494346,0.0012695804981060572,True,6.669068749530056
Okie from Muskogee,Okie from Muskogee,1,765,2016-05-12,2016-05-12,Unreleased,True,546,0.0018315018315018315,0.002821788456921237,False,5.870384390472854
"Oats, Peas, Beans and Barley Grow","Oats, Peas, Beans and Barley Grow",1,716,2015-09-08,2015-09-08,Unreleased,True,595,0.0016806722689075631,0.0025969630351502767,False,5.953412580076188
Noche del Guajolote,Noche del Guajolote,1,691,2015-04-13,2015-04-13,I Like Walt,False,620,0.0016129032258064516,0.002495519166589719,True,5.993258488623388
For the Snakes,For the Snakes,1,1017,2021-09-08,2021-09-08,Songs for Pierre Chuvin,False,294,0.003401360544217687,0.005086408492412166,False,5.281183298177924
No Surprises,No Surprises,1,82,2000-10-19,2000-10-19,Unreleased,True,1229,0.0008136696501220504,0.001278728796331001,False,6.661888822395248
François Mitterrand,François Mitterrand,1,28,1996-03-21,1996-03-21,Gatherings,True,1283,0.000779423226812159,0.001225734663559033,False,6.704214889394516
Free Fallin',Free Fallin',1,382,2009-04-02,2009-04-02,Unreleased,True,929,0.001076426264800861,0.0016829634000183563,False,6.387199110879598
Freebird,Freebird,1,394,2009-10-11,2009-10-11,Unreleased,False,917,0.0010905125408942203,0.0017045168266994878,True,6.374473594508093
Move (Chicago 196X),Move (Chicago 196X),1,666,2014-06-15,2014-06-15,Taboo VI: The Homecoming,False,645,0.0015503875968992248,0.002401702656567549,True,6.031577352925525
New Matha,New Matha,1,66,1998-10-10,1998-10-10,Unreleased,False,1245,0.0008032128514056225,0.0012625551514762214,True,6.674617713431291
New London,New London,1,1161,2023-12-06,2023-12-06,Unreleased,False,150,0.006666666666666667,0.009394895685984825,False,4.667588749319932
Never Say Never,Never Say Never,1,1074,2022-08-25,2022-08-25,Unreleased,False,237,0.004219409282700422,0.006214522438200079,False,5.08086639716489
My Mask,My Mask,1,1270,2025-10-04,2025-10-04,Unreleased,False,41,0.024390243902439025,0.026182496174056068,False,3.6426641764429815
Garbage Eaters,Garbage Eaters,1,159,2004-07-17,2004-07-17,Unreleased,False,1152,0.0008680555555555555,0.0013627408418237373,True,6.598257282406628
My Best Friend's Girl,My Best Friend's Girl,1,794,2016-12-16,2016-12-16,Unreleased,True,517,0.0019342359767891683,0.0029741755430491997,False,5.817788406778535
Mutiny in Heaven,Mutiny in Heaven,1,158,2004-05-27,2004-05-27,Unreleased,True,1153,0.0008673026886383347,0.0013615790849253369,False,6.5991101609231455
Light of the World,Light of the World,1,1169,2024-01-19,2024-01-19,Unreleased,False,142,0.007042253521126761,0.009858841151959383,False,4.619386647502054
"Lie Down, Keep Still, Play Dead","Lie Down, Keep Still, Play Dead",1,1180,2024-02-29,2024-02-29,Unreleased,False,131,0.007633587786259542,0.01057703487826106,False,4.549070149084595
Let the Dogs Come Out,Let the Dogs Come Out,1,7,1992-12-13,1992-12-13,Unreleased,False,1304,0.0007668711656441718,0.0012062932527321904,True,6.720203048766624
Hatha Hill,Hatha Hill,1,1262,2025-09-26,2025-09-26,"Orange Raja, Blood Royal",False,49,0.02040816326530612,0.023146844443730726,False,3.76589681686693
Improv Song,Improv Song,1,417,2009-12-16,2009-12-16,Unreleased,False,894,0.0011185682326621924,0.001747409482075952,True,6.34962088372382
Hail St. Sebastian,Hail St. Sebastian,1,543,2012-03-24,2012-03-24,Unreleased,False,768,0.0013020833333333333,0.0020268175972302286,True,6.20128840212755
I Rule the Ruins,I Rule the Ruins,1,673,2014-06-27,2014-06-27,Unreleased,True,638,0.001567398119122257,0.002427252684828906,False,6.020995243594988
I Put a Spell on You,I Put a Spell on You,1,166,2004-10-15,2004-10-15,Unreleased,True,1145,0.0008733624454148472,0.0013709289842209614,False,6.592266678269471
"I Love You, Let's Light Ourselves on Fire","I Love You, Let's Light Ourselves on Fire",1,376,2009-03-25,2009-03-25,"Hail and Farewell, Gothenburg",False,935,0.0010695187165775401,0.0016723898079763562,True,6.393501652750401
I Hope You Dance,I Hope You Dance,1,718,2015-09-10,2015-09-10,Unreleased,True,593,0.0016863406408094434,0.002605435997744568,False,5.950155248205881
I Am Morris Townsend,I Am Morris Townsend,1,222,2006-08-10,2006-08-10,Redux,True,1089,0.0009182736455463728,0.0014401553350923536,False,6.543004299620037
Have Yourself a Merry Little Christmas,Have Yourself a Merry Little Christmas,1,525,2011-12-21,2011-12-21,Unreleased,True,786,0.001272264631043257,0.0019815536806667743,False,6.2238740547762985
Let Me Go,Let Me Go,1,463,2010-12-14,2010-12-14,Unreleased,False,848,0.0011792452830188679,0.001840014132047719,True,6.29798202693002
Hospital Reaction Shot,Hospital Reaction Shot,1,1016,2021-09-07,2021-09-07,Hex of Infinite Binding EP,False,295,0.003389830508474576,0.005070261163864826,False,5.284362951095304
He Will Arise,He Will Arise,1,634,2013-09-14,2013-09-14,Unreleased,False,677,0.0014771048744460858,0.0022914379721914206,True,6.078575723030194
Horse and Master,Horse and Master,1,463,2010-12-14,2010-12-14,Unreleased,False,848,0.0011792452830188679,0.001840014132047719,True,6.29798202693002
Hopeful Assassins of Zeno,Hopeful Assassins of Zeno,1,1072,2022-08-19,2022-08-19,Songs for Pierre Chuvin,False,239,0.0041841004184100415,0.0061665338479437075,False,5.088618373969208
Hommel West (Onward to Tasmania),Hommel West (Onward to Tasmania),1,716,2015-09-08,2015-09-08,Unreleased,False,595,0.0016806722689075631,0.0025969630351502767,True,5.953412580076188
History of the Church (Part 1),History of the Church (Part 1),1,5,1992-12-06,1992-12-06,Unreleased,False,1306,0.0007656967840735069,0.0012044738058954903,True,6.721712483015478
"Here I Am, Lord","Here I Am, Lord",1,1181,2024-03-01,2024-03-01,Unreleased,True,130,0.007692307692307693,0.010647548444116134,False,4.542425606365926
In League With Dragons,In League With Dragons,1,944,2019-07-22,2019-07-22,In League with Dragons,False,367,0.0027247956403269754,0.004126956761285323,False,5.4902150052994525
In the Craters of the Moon,In the Craters of the Moon,1,649,2014-02-26,2014-02-26,Heretic Pride,False,662,0.0015105740181268882,0.002341836168060733,True,6.056819970113133
Going to Tennessee,Going to Tennessee,1,336,2008-10-15,2008-10-15,Why You All So Thief?,False,975,0.0010256410256410256,0.0016051580569019298,True,6.434533049428263
Going to Spirit Lake,Going to Spirit Lake,1,26,1996-03-16,1996-03-16,Unreleased,False,1285,0.0007782101167315176,0.0012238561430018544,True,6.705748632026464
Leaving Home,Leaving Home,1,277,2007-06-17,2007-06-17,Cyanide Guilt Trip,False,1034,0.0009671179883945841,0.001515305755804004,True,6.4921380413709775
Labrador,Labrador,1,581,2012-10-20,2012-10-20,Unreleased,True,730,0.0013698630136986301,0.0021295096888232267,False,6.151863518800027
La Tracionera,La Tracionera,1,22,1996-01-18,1996-01-18,Unreleased,False,1289,0.0007757951900698216,0.0012201163228551719,True,6.70880907817957
Korean Bird Paintings,Korean Bird Paintings,1,997,2021-04-18,2021-04-18,New Asian Cinema,False,314,0.0031847133757961785,0.00478183313358509,False,5.3429313052463705
Know the Way,Know the Way,1,84,2001-04-21,2001-04-21,Isopanisad Radio Hour,False,1227,0.0008149959250203749,0.0012807796845368245,True,6.660286257949707
Kittens in Mittens,Kittens in Mittens,1,5,1992-12-06,1992-12-06,Unreleased,False,1306,0.0007656967840735069,0.0012044738058954903,True,6.721712483015478
John 4:35,John 4:35,1,9,1993-03-07,1993-03-07,Unreleased,False,1302,0.0007680491551459293,0.001208118204703041,True,6.718691332681302
Going to Niles,Going to Niles,1,873,2017-11-17,2017-11-17,Unreleased,False,438,0.00228310502283105,0.003487188355059869,True,5.658659496383855
Going to Norwalk,Going to Norwalk,1,703,2015-05-27,2015-05-27,Hot Garden Stomp,False,608,0.001644736842105263,0.002543204246206083,True,5.974330478737869
Jam Eater Blues,Jam Eater Blues,1,651,2014-04-15,2014-04-15,Jam Eater Blues EP,False,660,0.0015151515151515152,0.002348723921496206,True,6.0538831104398225
Jailbreak,Jailbreak,1,476,2011-04-01,2011-04-01,Unreleased,False,835,0.0011976047904191617,0.0018679909551080937,True,6.28289178120643
Italian Guns,Italian Guns,1,650,2014-02-28,2014-02-28,Unreleased,False,661,0.0015128593040847202,0.0023452749876907786,True,6.055352618419183
It's Raining Men,It's Raining Men,1,476,2011-04-01,2011-04-01,Unreleased,True,835,0.0011976047904191617,0.0018679909551080937,False,6.28289178120643
Going to Santiago,Going to Santiago,1,665,2014-06-14,2014-06-14,Transmissions to Horace,False,646,0.0015479876160990713,0.002398096496422553,True,6.033079982810059
Going to Some Damned English City,Going to Some Damned English City,1,22,1996-01-18,1996-01-18,Unreleased,False,1289,0.0007757951900698216,0.0012201163228551719,True,6.70880907817957
Omega Blaster,Omega Blaster,1,126,2003-04-06,2003-04-06,"Yam, the King of Crops",False,1185,0.0008438818565400844,0.0013254209681472365,True,6.626025158194426
On a Wall,On a Wall,1,1,1992-05-31,1992-05-31,Biographer's Ruse,False,1310,0.0007633587786259542,0.0012008513282837745,True,6.72472453348547
For He's a Jolly Good Fellow,For He's a Jolly Good Fellow,1,721,2015-10-03,2015-10-03,Unreleased,True,590,0.001694915254237288,0.0026182496174056067,False,5.945249269437027
Something Inside Me Has Died,Something Inside Me Has Died,1,318,2008-03-05,2008-03-05,Unreleased,False,993,0.0010070493454179255,0.0015766359986351631,True,6.452461816518354
Song for Ted Sallis,Song for Ted Sallis,1,985,2020-02-21,2020-02-21,Hex of Infinite Binding EP,False,326,0.003067484662576687,0.004615989209876937,False,5.378229087327394
Song for Prince Edward III,Song for Prince Edward III,1,37,1996-11-07,1996-11-07,Martial Arts Weekend,False,1274,0.0007849293563579278,0.001234259866010371,True,6.697283787330516
Song for My Sons,Song for My Sons,1,814,2017-06-02,2017-06-02,Unreleased,True,497,0.002012072434607646,0.003089230689782244,False,5.7798331867781
Chason du Bon Chose,Chason du Bon Chose,1,1269,2025-10-03,2025-10-03,Nine Black Poppies EP,False,42,0.023809523809523808,0.02576019784866807,False,3.6589246973147618
Song for Greg Valentine,Song for Greg Valentine,1,558,2012-06-27,2012-06-27,Unreleased,False,753,0.0013280212483399733,0.002066147822273506,True,6.182069360857092
Chilean Fire Barrel,Chilean Fire Barrel,1,7,1992-12-13,1992-12-13,Unreleased,False,1304,0.0007668711656441718,0.0012062932527321904,True,6.720203048766624
Sometimes We Mosh,Sometimes We Mosh,1,685,2015-04-07,2015-04-07,Unreleased,False,626,0.001597444089456869,0.002472340969996006,True,6.002589816052272
Christmas in Prison,Christmas in Prison,1,250,2006-12-18,2006-12-18,Unreleased,True,1061,0.000942507068803016,0.0014774581559828122,False,6.517432129908879
Crane,Crane,1,463,2010-12-14,2010-12-14,"Hail and Farewell, Gothenburg",False,848,0.0011792452830188679,0.001840014132047719,True,6.29798202693002
Snake Dance Song,Snake Dance Song,1,859,2017-10-12,2017-10-12,Unreleased,False,452,0.0022123893805309734,0.0033837548021555513,True,5.688769297855226
Smothered/Register/Political Man,Smothered/Register/Political Man,1,1,1992-05-31,1992-05-31,Biographer's Ruse,False,1310,0.0007633587786259542,0.0012008513282837745,True,6.72472453348547
Slip Away from Me,Slip Away from Me,1,463,2010-12-14,2010-12-14,Unreleased,False,848,0.0011792452830188679,0.001840014132047719,True,6.29798202693002
Skeleton's Tooth,Skeleton's Tooth,1,913,2018-10-24,2018-10-24,unreleased,False,398,0.002512562814070352,0.003820890589993828,False,5.567271744794427
Con Todo Y Mi Tristeza,Con Todo Y Mi Tristeza,1,768,2016-09-01,2016-09-01,Unreleased,False,543,0.001841620626151013,0.0028368246298710836,True,5.865069940409361
"Shot, Repeatedly, At Close Range, In the Chest, By Your Love","Shot, Repeatedly, At Close Range, In the Chest, By Your Love",1,1018,2021-09-09,2021-09-09,Unreleased,False,293,0.0034129692832764505,0.0051026589987777,False,5.2779935028098235
Short Song for Justin Bieber and His Paparazzi,Short Song for Justin Bieber and His Paparazzi,1,759,2016-04-13,2016-04-13,Unreleased,False,552,0.0018115942028985507,0.002792189277303182,True,5.880929303649468
Charlie Brown,Charlie Brown,1,917,2019-03-14,2019-03-14,Unreleased,True,394,0.0025380710659898475,0.0038578074072884543,False,5.557656286094985
Catherine Antrim’s Kid,Catherine Antrim’s Kid,1,608,2013-01-25,2013-01-25,All Survivors Pack,False,703,0.001422475106685633,0.0022090349469120613,True,6.115199534428435
Cathedral Song,Cathedral Song,1,26,1996-03-16,1996-03-16,Unreleased,True,1285,0.0007782101167315176,0.0012238561430018544,False,6.705748632026464
Cars Song in C,Cars Song in C,1,765,2016-05-12,2016-05-12,Unreleased,False,546,0.0018315018315018315,0.002821788456921237,True,5.870384390472854
Tallahasee,Tallahasee,1,1002,2021-08-10,2021-08-10,Tallahassee,False,309,0.003236245954692557,0.004854505369657812,False,5.327848063035042
Take A Letter Maria,Take A Letter Maria,1,55,1997-11-14,1997-11-14,Unreleased,True,1256,0.0007961783439490446,0.0012516710553428058,False,6.683275776174406
Superman,Superman,1,764,2016-04-19,2016-04-19,Unreleased,True,547,0.0018281535648994515,0.002816811757702681,False,5.872149615997422
Brilliant Disguise,Brilliant Disguise,1,20,1995-09-21,1995-09-21,Unreleased,True,1291,0.000774593338497289,0.0012182549707226698,False,6.7103357960333705
"Sugar, We're Going Down","Sugar, We're Going Down",1,888,2018-04-20,2018-04-20,unreleased,True,423,0.002364066193853428,0.0036052647101973367,False,5.625360082314806
Suffragette City,Suffragette City,1,545,2012-04-19,2012-04-19,Unreleased,True,766,0.0013054830287206266,0.0020319748939152927,False,6.198747104698877
Stuck in Time,Stuck in Time,1,463,2010-12-14,2010-12-14,Unreleased,False,848,0.0011792452830188679,0.001840014132047719,True,6.29798202693002
Straight Six,Straight Six,1,708,2015-06-01,2015-06-01,Jam Eater Blues (EP),False,603,0.001658374792703151,0.0025636151952125523,True,5.966336831057124
Calcutta,Calcutta,1,38,1996-11-09,1996-11-09,Unreleased,False,1273,0.0007855459544383347,0.0012352144366724054,True,6.696510691041528
Standard Bitter Love Song Number 8,Standard Bitter Love Song Number 8,1,664,2014-06-13,2014-06-13,Taking the Dative,False,647,0.0015455950540958269,0.0023945011493514546,True,6.034580358185294
Standard Bitter Love Song Number 6,Standard Bitter Love Song Number 6,1,5,1992-12-06,1992-12-06,Unreleased,False,1306,0.0007656967840735069,0.0012044738058954903,True,6.721712483015478
Standard Bitter Love Song Number 5,Standard Bitter Love Song Number 5,1,3,1992-07-22,1992-07-22,Unreleased,False,1308,0.0007645259938837921,0.0012026598393203465,True,6.7232196423060495
Stable Boy Song,Stable Boy Song,1,1240,2024-12-13,2024-12-13,Unreleased,False,71,0.014084507042253521,0.01755090402876286,False,4.04264981878652
Cao Dai Blowout,Cao Dai Blowout,1,277,2007-06-17,2007-06-17,New Asian Cinema,False,1034,0.0009671179883945841,0.001515305755804004,True,6.4921380413709775
Spellbound,Spellbound,1,673,2014-06-27,2014-06-27,Unreleased,True,638,0.001567398119122257,0.002427252684828906,False,6.020995243594988
Shield My Eyes Against the Glare,Shield My Eyes Against the Glare,1,463,2010-12-14,2010-12-14,Unreleased,False,848,0.0011792452830188679,0.001840014132047719,True,6.29798202693002
Crazy On You,Crazy On You,1,812,2017-05-31,2017-05-31,Unreleased,True,499,0.002004008016032064,0.003077326139917958,False,5.783694195435559
One Morning in Northern Italy,One Morning in Northern Italy,1,6,1992-12-12,1992-12-12,Unreleased,False,1305,0.0007662835249042146,0.0012053828427301284,True,6.720958050689993
Parting Friends,Parting Friends,1,544,2012-04-02,2012-04-02,Unreleased,True,767,0.001303780964797914,0.002029392969018323,False,6.200018560687074
Pirates (So Long Lonely Avenue),Pirates (So Long Lonely Avenue),1,36,1996-11-02,1996-11-02,Unreleased,True,1275,0.000784313725490196,0.0012333067695887415,False,6.698056286403308
Pinklon,Pinklon,1,275,2007-06-13,2007-06-13,Unreleased,False,1036,0.0009652509652509653,0.0015124358585392236,True,6.494033776535877
Etruscans,Etruscans,1,1022,2021-09-18,2021-09-18,Our First 100 Days,False,289,0.0034602076124567475,0.00516871283694958,False,5.2651315891674155
Personality Crisis,Personality Crisis,1,293,2007-11-05,2007-11-05,Unreleased,True,1018,0.0009823182711198428,0.001538663069958979,False,6.476841375995504
Pennsylvania Dutch Treat,Pennsylvania Dutch Treat,1,59,1998-04-04,1998-04-04,Unreleased,False,1252,0.0007987220447284345,0.0012556071278438839,True,6.680136056169737
Everyday People,Everyday People,1,545,2012-04-19,2012-04-19,Unreleased,True,766,0.0013054830287206266,0.0020319748939152927,False,6.198747104698877
Passaic 1975,Passaic 1975,1,1198,2024-04-20,2024-04-20,In League with Dragons,False,113,0.008849557522123894,0.012008513282837745,False,4.422139440491424
Palisades Park,Palisades Park,1,957,2019-09-05,2019-09-05,Unreleased,True,354,0.002824858757062147,0.004270407129993102,False,5.456046109684202
Crazy Train,Crazy Train,1,522,2011-11-18,2011-11-18,Unreleased,True,789,0.0012674271229404308,0.001974205521158739,False,6.227589229328162
Paint It Black,Paint It Black,1,542,2012-03-13,2012-03-13,Unreleased,True,769,0.0013003901170351106,0.002024248753634246,False,6.202556633115544
Extreme South Number 1,Extreme South Number 1,1,1264,2025-09-28,2025-09-28,Unreleased,False,47,0.02127659574468085,0.023837795024140598,False,3.7364829316606363
Original Air-Blue Gown,Original Air-Blue Gown,1,1013,2021-08-25,2021-08-25,Full Force Galesburg,False,298,0.003355704697986577,0.0050224285113755355,False,5.2938416950498475
Five O'Clock,Five O'Clock,1,304,2007-12-09,2007-12-09,Unreleased,True,1007,0.0009930486593843098,0.001555143394953671,False,6.466187522198228
Flashing Lights,Flashing Lights,1,759,2016-04-13,2016-04-13,Sweden,False,552,0.0018115942028985507,0.002792189277303182,True,5.880929303649468
Folsom Prison Blues,Folsom Prison Blues,1,362,2008-12-13,2008-12-13,Unreleased,False,949,0.001053740779768177,0.001648227313330671,True,6.408054924160436
One Winter at Point Alpha Privative,One Winter at Point Alpha Privative,1,666,2014-06-15,2014-06-15,Taboo VI: The Homecoming,False,645,0.0015503875968992248,0.002401702656567549,True,6.031577352925525
Please Come Home to Hamngatan,Please Come Home to Hamngatan,1,65,1998-07-31,1998-07-31,We'll Sail Out Far... Maybe a Little Too Far...,False,1246,0.0008025682182985554,0.0012615578725256084,True,6.675407914973792
Poker Face,Poker Face,1,430,2010-04-14,2010-04-14,Unreleased,False,881,0.0011350737797956867,0.0017726218275443066,True,6.335295569878008
Pretty In Pink,Pretty In Pink,1,95,2002-03-08,2002-03-08,Unreleased,False,1216,0.0008223684210526315,0.001292178209237395,True,6.651425950287306
Prominent Metaphysicians of South Pomona,Prominent Metaphysicians of South Pomona,1,864,2017-11-06,2017-11-06,Unreleased,False,447,0.0022371364653243847,0.0034199834402942617,True,5.678119569938568
Cut Your Hair,Cut Your Hair,1,13,1995-01-15,1995-01-15,Unreleased,True,1298,0.0007704160246533128,0.001211784724292428,False,6.715661027332123
Satanic Messiah (Song),Satanic Messiah (Song),1,893,2018-05-27,2018-05-27,Satanic Messiah EP,False,418,0.0023923444976076554,0.003646420700039772,False,5.614009222646117
Danny Says,Danny Says,1,649,2014-02-26,2014-02-26,Unreleased,True,662,0.0015105740181268882,0.002341836168060733,False,6.056819970113133
Run Run Rudolph,Run Run Rudolph,1,250,2006-12-18,2006-12-18,Unreleased,True,1061,0.000942507068803016,0.0014774581559828122,False,6.517432129908879
Dirty Old Town,Dirty Old Town,1,1185,2024-03-20,2024-03-20,Devil in the Shortwave,True,126,0.007936507936507936,0.010939262100119316,False,4.515396933978007
Rock and Roll All Night,Rock and Roll All Night,1,842,2017-09-06,2017-09-06,Unreleased,False,469,0.0021321961620469083,0.003266119154636851,True,5.724152801744542
Rivers of Babylon,Rivers of Babylon,1,200,2005-10-14,2005-10-14,Babylon Springs EP,False,1111,0.0009000900090009,0.0014121417034636784,True,6.5626477883857905
Ribdate,Ribdate,1,1,1992-05-31,1992-05-31,Biographer's Ruse,False,1310,0.0007633587786259542,0.0012008513282837745,True,6.72472453348547
Reel Around the Fountain,Reel Around the Fountain,1,56,1997-12-06,1997-12-06,Unreleased,True,1255,0.0007968127490039841,0.0012526527581313098,False,6.682491769862197
Don't Take the Dogs Away,Don't Take the Dogs Away,1,666,2014-06-15,2014-06-15,Taboo VI: The Homecoming,False,645,0.0015503875968992248,0.002401702656567549,True,6.031577352925525
Radical Evil Song,Radical Evil Song,1,1051,2022-05-08,2022-05-08,unreleased,False,260,0.0038461538461538464,0.005704043809347929,False,5.16657991543892
Quién Como Tú,Quién Como Tú,1,326,2008-03-22,2008-03-22,Unreleased,True,985,0.0010152284263959391,0.0015891863349427066,False,6.444533132762847
Purple Rain,Purple Rain,1,330,2008-08-02,2008-08-02,Unreleased,True,981,0.0010193679918450561,0.0015955367298875326,False,6.440545091584891
Down to the Ark,Down to the Ark,1,306,2008-02-02,2008-02-02,Unreleased,False,1005,0.0009950248756218905,0.001558177821090166,True,6.464238203842179
Puffin',Puffin',1,866,2017-11-08,2017-11-08,Unreleased,True,445,0.0022471910112359553,0.0034346930464890756,False,5.673827717857026
Your Daddy Loves You,Your Daddy Loves You,1,984,2020-02-20,2020-02-20,unreleased,False,327,0.0030581039755351682,0.00460268664731245,False,5.38111509221653
