feature,coef_standardized,scaler_mean,scaler_scale
ewma_10,0.26006758599979646,0.04110747675589377,0.11874075863212866
shows_since_last,-1.3023969438454457,4.450431221375542,1.655150906967837
played_last_show,-0.08232110871911236,0.03628503206773749,0.18699847196055044
career_rate,0.05768372170139866,0.06255029160166863,0.11446712292601488
song_age_years,-0.11585841839510785,12.060143927764328,7.4927766523871995
new_material,-0.1108383250681915,0.06836091892200247,0.2523642282221113
tour_rate,0.27223692747766864,0.025674953466598534,0.127455088393847
in_tour_pool,-0.023458378681403224,0.05966555020414151,0.2368661485374779
is_special_show,-0.18574960767803148,0.07734966465377438,0.267145454821382
is_solo,0.042203304740020896,0.0459746228882967,0.2094300764899245
city_song_rate,0.02536512887396119,0.03828659982758117,0.09620250194219028
intercept,-4.864536111095132,0.0,1.0
