show_id,date,song_key,p_model,surprisal
"2024-01-18_-_Neighborhood_Theatre_-_Charlotte,_NC",2024-01-18,Song for Lonely Giants,0.058473484635315244,2.839181881592189
"2024-04-08_-_Victory_Theatre_-_Evansville,_IN",2024-04-08,Source Decay,0.05859335678293277,2.8371339543044845
"2023-02-11_-_The_Loud_-_Huntington,_WV",2023-02-11,Sinaloan Milk Snake Song,0.05859466424966421,2.837111640304812
"2024-03-02_-_The_Neptune_-_Seattle,_WA",2024-03-02,See America Right,0.05860726612513144,2.836896594776543
"2026-05-03_-_Sing_Us_Home_Festival_-_Philadelphia,_PA",2026-05-03,Incandescent Ruins,0.05897555579098891,2.8306322295532564
"2023-07-07_-_Pablo_Center_at_the_Confluence_-_Eau_Claire,_WI",2023-07-07,Make You Suffer,0.05907878796264887,2.8288833367181434
"2024-08-01_-_Citizens_House_of_Blues_-_Boston,_MA",2024-08-01,Bell Swamp Connection,0.059474570887915745,2.822206437818459
"2025-08-08_-_Infinity_Hall_-_Hartford,_CT",2025-08-08,You or Your Memory,0.05967984834654154,2.818760864200089
"2024-07-26_-_Agora_Theatre_-_Cleveland,_OH",2024-07-26,Palmcorder Yajna,0.05972409000417097,2.818019822317131
"2023-07-05_-_Wooly's_-_Des_Moines,_IA",2023-07-05,You or Your Memory,0.059888089752351374,2.8152776291511468
"2026-04-16_-_The_Governor_Hindmarsh_Hotel_-_Adelaide,_AU",2026-04-16,Woke Up New,0.05996467041982795,2.8139997165225465
"2023-02-09_-_Elevation_27_-_Virginia_Beach,_VA",2023-02-09,Alpha Gelida,0.06003354552445772,2.812851780919485
"2023-07-01_-_The_Salt_Shed_-_Chicago,_IL",2023-07-01,Spent Gladiator 2,0.060102072938955836,2.8117109465390238
"2023-07-13_-_The_Vanguard_-_Tulsa,_OK",2023-07-13,The Monkey Song,0.0601766679173652,2.8104705779179016
"2023-04-02_-_Soul_Kitchen_-_Mobile,_AL",2023-04-02,Palmcorder Yajna,0.06037237921214514,2.807223576446067
"2024-10-09_-_United_Theatre_-_Westerly,_RI",2024-10-09,You Were Cool,0.06038690616752317,2.8069829828486066
"2023-07-02_-_SPACE_-_Evanston,_IL",2023-07-02,Wage Wars Get Rich Die Handsome,0.06052696903232775,2.8046662441414987
"2023-04-11_-_The_Slowdown_-_Omaha,_NE",2023-04-11,Getting Into Knives (song),0.06059473343813193,2.8035472966450166
"2023-03-30_-_Big_Ears_Festival_-_Knoxville,_TN",2023-03-30,Incandescent Ruins,0.06071276098117811,2.8016013726795608
"2025-12-04_-_Neptune_Theatre_-_Seattle,_WA",2025-12-04,Palmcorder Yajna,0.061063213209240796,2.7958456692597795
"2023-10-06_-_August_Hall_-_San_Francisco,_CA",2023-10-06,Palmcorder Yajna,0.061215636685317355,2.7933526207047046
"2023-02-17_-_Musica_-_Akron,_OH",2023-02-17,Love Cuts the Strings,0.06147491257119125,2.789126113065662
"2023-02-12_-_Skully's_-_Columbus,_OH",2023-02-12,Romans 10:9,0.06197798720461426,2.7809760020673417
"2026-05-24_-_Delmar_Hall_-_St._Louis,_MO",2026-05-24,New Zion,0.06216096728337779,2.7780280118569176
"2023-04-17_-_Phoenix_Concert_Theatre_-_Toronto,_ON",2023-04-17,Tallahassee (Song),0.06222145034321808,2.7770554778643874
"2024-04-15_-_Washington's_-_Fort_Collins,_CO",2024-04-15,Jeff Davis County Blues,0.06273333607107136,2.768862296858086
"2024-12-02_-_Radio_Room_-_Greenville,_SC",2024-12-02,Maybe Sprout Wings,0.0630557932627186,2.7637353371646753
"2024-05-22_-_Roundhouse_-_London,_England",2024-05-22,So Desperate,0.06305580270753638,2.763735187379595
"2023-04-22_-_Cat's_Cradle_-_Carrboro,_NC",2023-04-22,International Small Arms Traffic Blues,0.06326136015528941,2.7604805603036975
"2023-07-11_-_Ryman_Auditorium_-_Nashville,_TN",2023-07-11,Woke Up New,0.06364866447934012,2.754376936455881
"2025-10-04_-_White_Eagle_Hall_-_Jersey_City,_NJ",2025-10-04,Sweet Jane,0.06392656633258026,2.75002025544445
"2025-09-26_-_Agora_Theatre_-_Cleveland,_OH",2025-09-26,"Ice Cream, Cobra Man",0.06395223291512916,2.7496188349893855
"2024-04-10_-_Turner_Hall_Ballroom_-_Milwaukee,_WI",2024-04-10,Heretic Pride (Song),0.06404908610344494,2.7481055192276074
"2024-08-09_-_The_Mill_&_Mine_-_Knoxville,_TN",2024-08-09,You or Your Memory,0.06414328223194063,2.7466359130931375
"2023-04-21_-_XL_Live_-_Harrisburg,_PA",2023-04-21,New Zion,0.06414408780351814,2.7466233542328644
"2024-01-28_-_El_Rey_Theater_-_Albuquerque,_NM",2024-01-28,Game Shows Touch Our Lives,0.06421876246653507,2.745459860725454
"2023-12-05_-_Higher_Ground_Ballroom_-_South_Burlington,_VT",2023-12-05,International Small Arms Traffic Blues,0.06428449030564794,2.744436885144263
"2024-08-01_-_Citizens_House_of_Blues_-_Boston,_MA",2024-08-01,Extraction Point,0.0645243426489381,2.7407127209700257
"2024-04-17_-_Gothic_Theatre_-_Denver,_CO",2024-04-17,See America Right,0.06462576725075064,2.739142073871979
"2026-04-06_-_Blue_Note_Tokyo,_Early_Show_-_Tokyo,_Japan",2026-04-06,Heel Turn 2,0.06482716587291946,2.736030537040815
"2024-04-08_-_Victory_Theatre_-_Evansville,_IN",2024-04-08,The Diaz Brothers,0.06503257695800947,2.7328669506678613
"2023-04-20_-_Union_Transfer_-_Philadelphia,_PA",2023-04-20,Amy AKA Spent Gladiator 1,0.06503596107458492,2.7328149147700587
"2023-08-05_-_Citizens_House_of_Blues_-_Boston,_MA",2023-08-05,Snow Crush Killing Song,0.0651294263781392,2.731378813799642
"2025-11-29_-_Metro_Music_Hall_-_Salt_Lake_City,_UT",2025-11-29,In Memory of Satan,0.0651602979527937,2.7309049226253266
"2023-06-29_-_Mercury_Ballroom_-_Louisville,_KY",2023-06-29,Broom People,0.06533261407338593,2.7282639175611574
"2023-03-31_-_Walker_Theatre_-_Chattanooga,_TN",2023-03-31,Love Cuts the Strings,0.06534491600474242,2.7280756383461235
"2024-04-17_-_Gothic_Theatre_-_Denver,_CO",2024-04-17,Dark in Here (song),0.06562828816660755,2.723748453929658
"2023-12-03_-_Aura_-_Portland,_ME",2023-12-03,Blueberry Frost,0.06572588430964783,2.7222624537644604
"2024-01-31_-_Rialto_Theatre_-_Tucson,_AZ",2024-01-31,The Best Ever Death Metal Band in Denton,0.0657970776749194,2.7211798538723855
"2023-07-04_-_Codfish_Hollow_Barnstormers_-_Maquoketa,_IA",2023-07-04,Minnesota,0.06622644783858697,2.7146753816456637
"2023-02-09_-_Elevation_27_-_Virginia_Beach,_VA",2023-02-09,First Blood,0.06656187246691465,2.709623350849938
"2026-04-10_-_Powerstation_-_Auckland,_NZ",2026-04-10,You Were Cool,0.06660243863242517,2.7090140860036667
"2025-11-30_-_The_ELM_-_Bozeman,_MT",2025-11-30,Heretic Pride (Song),0.06667027037277083,2.7079961469715985
"2024-08-10_-_The_Senate_-_Columbia,_SC",2024-08-10,Cotton,0.06683656293198759,2.7055049988992654
"2025-10-02_-_Water_Street_Music_Hall_-_Rochester,_NY",2025-10-02,Transjordanian Blues,0.06693818691819073,2.7039856687436763
"2023-10-07_-_Ace_Of_Spades_-_Sacramento,_CA",2023-10-07,Hast Thou Considered the Tetrapod,0.0673735592652246,2.6975026338001715
"2024-10-09_-_United_Theatre_-_Westerly,_RI",2024-10-09,Grendel's Mother,0.06745872265199017,2.6962393844227983
"2024-04-13_-_The_City_Center_-_Champaign,_IL",2024-04-13,Alpha Omega,0.06767313239953827,2.693066040470792
"2024-08-10_-_The_Senate_-_Columbia,_SC",2024-08-10,Before I Got There,0.06818696026731301,2.6855019308399655
"2023-04-17_-_Phoenix_Concert_Theatre_-_Toronto,_ON",2023-04-17,Jenny,0.06908178071394927,2.6724642484743826
"2026-05-03_-_Sing_Us_Home_Festival_-_Philadelphia,_PA",2026-05-03,The Young Thousands,0.06915045424606575,2.671470651897056
"2024-05-22_-_Roundhouse_-_London,_England",2024-05-22,Palmcorder Yajna,0.06933896408936595,2.6687482784191183
"2023-07-14_-_Liberty_Hall_-_Lawrence,_KS",2023-07-14,Going to Georgia,0.06987398956346381,2.6610618082416435
"2023-02-15_-_Mickey's_Black_Box_-_Lititz,_PA",2023-02-15,Waylon Jennings Live!,0.07024132425323738,2.655818476569366
"2025-08-06_-_The_Broadberry_-_Richmond,_VA",2025-08-06,Doc Gooden,0.07045283581532705,2.652811788568552
"2024-10-16_-_Barrymore_Theatre_-_Madison,_WI",2024-10-16,New Zion,0.07069403506089239,2.6493940793575717
"2024-08-06_-_The_Jefferson_Theater_-_Charlottesville,_VA",2024-08-06,Hast Thou Considered the Tetrapod,0.07080677558089477,2.6478005825663202
"2024-07-31_-_The_Rooftop_at_Pier_17_-_New_York,_NY",2024-07-31,Sicilian Crest,0.07094580618326016,2.6458389865909107
"2023-03-30_-_Big_Ears_Festival_-_Knoxville,_TN",2023-03-30,Make You Suffer,0.07136981173603943,2.639880303861132
"2025-08-05_-_Nevermore_Hall_-_Baltimore,_MD",2025-08-05,Romans 10:9,0.07155018346782856,2.6373562087924887
"2023-10-06_-_August_Hall_-_San_Francisco,_CA",2023-10-06,Getting Into Knives (song),0.07177653595430143,2.6341976536316825
"2026-04-17_-_Forum_Theatre_-_Melbourne,_AU",2026-04-17,Song for My Stepfather,0.0717946832328576,2.6339448553514204
"2023-04-04_-_Chelsea's_Live_-_Baton_Rouge,_LA",2023-04-04,You Were Cool,0.07192966736656163,2.63206647951838
"2024-02-01_-_Orpheum_Theater_-_Flagstaff,_AZ",2024-02-01,Bleed Out (song),0.07205130211413911,2.6303768843315662
"2024-12-02_-_Radio_Room_-_Greenville,_SC",2024-12-02,The Best Ever Death Metal Band in Denton,0.07218397967405167,2.6285371458752085
"2024-08-02_-_Phantom_Power_-_Millersville,_PA",2024-08-02,Incandescent Ruins,0.07286421991345948,2.6191575709693904
"2023-07-04_-_Codfish_Hollow_Barnstormers_-_Maquoketa,_IA",2023-07-04,Genesis 3:23,0.07287313927989147,2.619035167674964
"2023-02-11_-_The_Loud_-_Huntington,_WV",2023-02-11,Heretic Pride (Song),0.0728856467732436,2.6188635486086764
"2025-11-30_-_The_ELM_-_Bozeman,_MT",2025-11-30,You Were Cool,0.07297381262984916,2.617654633291095
"2025-10-02_-_Water_Street_Music_Hall_-_Rochester,_NY",2025-10-02,Luna,0.07394573621066734,2.604423749220292
"2023-12-06_-_Infinity_Hall_-_Hartford,_CT",2023-12-06,Dance Music,0.07461612462401682,2.5953986473539623
"2026-05-16_-_Bearsville_Theater_-_Woodstock,_NY",2026-05-16,Tallahassee (Song),0.07511505219874647,2.5887343115502457
"2024-08-02_-_Phantom_Power_-_Millersville,_PA",2024-08-02,Cheshire County,0.07583258883248829,2.5792271469009953
