cluster,n_shows,raw_mean_bits,prior_bits,shrunk_mean_bits,label,members
44.0,59,3.601956692369435,2.6438051961790077,3.487550543570578,Durham,"Carrboro, Cary, Chapel Hill, Durham, Raleigh"
144.0,58,3.257703972425961,2.6438051961790077,3.183291999547542,San Francisco,"Oakland, San Francisco"
7.0,12,3.423389998268014,2.6438051961790077,3.1115560774324114,Amsterdam,"Amsterdam, Amsterdam, Amsterdam, Amsterdam"
52.0,58,2.9261295298118895,2.6438051961790077,2.8919083984624496,Chicago,"Chicago, Evanston"
40.0,102,2.8573638534890007,2.6438051961790077,2.8418323147755467,New York,"Brooklyn, Hoboken, Jersey City, New York, Queens"
45.0,5,3.065818439827099,2.6438051961790077,2.806117982197504,Urbana,"Champaign, Urbana"
199.0,6,3.0186801132778878,2.6438051961790077,2.8044658749356706,Vancouver,"Vancouver, Vancouver"
83.0,4,3.102168306076466,2.6438051961790077,2.7965928994781604,Gothenburg,"Gothenberg, Gothenburg"
54.0,9,2.919732957946958,2.6438051961790077,2.789884599467922,Claremont,"Claremont, Pomona"
51.0,21,2.729021038506518,2.6438051961790077,2.7055132199334118,Philadelphia,"Cherry Hill, Philadelphia"
8.0,6,2.70208381669528,2.6438051961790077,2.6687817478288385,Irvine,"Anaheim, Costa Mesa, Irvine, Orange, Santa Ana"
169.0,12,2.6694037935788426,2.6438051961790077,2.6591643546189085,St. Louis,"Saint Louis, St. Louis"
94.0,9,2.6673738194209378,2.6438051961790077,2.656282702601206,Northampton,"Holyoke, Northampton"
4.0,22,2.6488437192999,2.6438051961790077,2.6475001131343285,Washington,"Alexandria, Silver Spring, Vienna, Washington"
203.0,4,2.6430510017033906,2.6438051961790077,2.6435537980204686,Wellington,"Wellington, Wellington"
154.0,5,2.640651880182504,2.6438051961790077,2.642592382334198,Providence,"Pawtucket, Providence"
198.0,3,2.6111718129207997,2.6438051961790077,2.6349051825631324,Utrecht,"Utrecht, Utrecht"
121.0,28,2.605690289655885,2.6438051961790077,2.6141602688832455,Los Angeles,"Los Angeles, Santa Monica, West Hollywood"
59.0,3,2.4584114273088695,2.6438051961790077,2.593243259214425,Columbia,"Columbia, West Columbia"
20.0,11,2.532360219166662,2.6438051961790077,2.5792844200139657,Baltimore,"Baltimore, Columbia"
130.0,14,2.5188906426288264,2.6438051961790077,2.564314116647074,Minneapolis,"Minneapolis, Saint Paul, St. Paul"
38.0,5,2.383491277318108,2.6438051961790077,2.5436844581555844,Brisbane,"Brisbane, Brisbane"
189.0,10,2.454657304494983,2.6438051961790077,2.5387230341323272,Sydney,"Sydney, Sydney"
5.0,2,2.0914098114751676,2.6438051961790077,2.5333261192382395,Allentown,"Allentown, Bethlehem"
64.0,13,2.4069229706698234,2.6438051961790077,2.497163818482846,Denver,"Denver, Englewood"
66.0,9,2.335711724809356,2.6438051961790077,2.480696887806839,Detroit,"Detroit, Royal Oak"
2.0,3,2.03073942859603,2.6438051961790077,2.4766054413836502,Albany,"Albany, Clifton Park"
127.0,9,2.277694788798096,2.6438051961790077,2.44998203933029,Melbourne,"Melbourne, Melbourne"
0.0,6,2.1902361900418086,2.6438051961790077,2.4494184792630653,Adelaide,"Adelaide, Adelaide"
133.0,5,2.1155305013980117,2.6438051961790077,2.4406226212632403,Montreal,"Montreal, Montreal"
18.0,3,1.888557498163831,2.6438051961790077,2.4378285512657776,Auckland,"Auckland, Auckland"
147.0,7,2.1971917067185474,2.6438051961790077,2.4353855677641265,Omaha,"Omaha, Papillion"
193.0,8,2.222332904003691,2.6438051961790077,2.4330690500913494,Toronto,"Toronto, Toronto"
53.0,9,1.911202688489141,2.6438051961790077,2.2559568097549603,Cincinnati,"Cincinnati, Covington"
33.0,22,1.9778106822531234,2.6438051961790077,2.155409219300026,Boston,"Boston, Cambridge, Somerville"
