song_key,song_title,n_main,n_encore,is_cover,n_tracked_plays,encore_rate,encore_rate_shrunk,eligible
Slow West Vultures,Slow West Vultures,8,0,False,8,0.0,0.10822580645161291,False
Itzcuintli-Totzli Days,Itzcuintli-Totzli Days,8,0,False,8,0.0,0.10822580645161291,False
The Plague,The Plague,7,0,False,7,0.0,0.11544086021505377,False
Tollund Man,Tollund Man,7,0,False,7,0.0,0.11544086021505377,False
The Water Song,The Water Song,7,0,False,7,0.0,0.11544086021505377,False
Tianchi Lake,Tianchi Lake,7,0,False,7,0.0,0.11544086021505377,False
The Lady from Shanghai,The Lady from Shanghai,7,0,False,7,0.0,0.11544086021505377,False
Need More Bandages,Need More Bandages,7,0,False,7,0.0,0.11544086021505377,False
The Lady from Shanghai 2,The Lady from Shanghai 2,7,0,False,7,0.0,0.11544086021505377,False
Song for Black Sabbath's Second North American Tour,Song for Black Sabbath's Second North American Tour,7,0,False,7,0.0,0.11544086021505377,False
Alphabetizing,Alphabetizing,7,0,False,7,0.0,0.11544086021505377,False
Running Away with What Freud Said,Running Away with What Freud Said,7,0,False,7,0.0,0.11544086021505377,False
Ripple,Ripple,4,3,True,7,0.42857142857142855,0.31544086021505374,False
Ghosts,Ghosts,7,0,False,7,0.0,0.11544086021505377,False
Pure Heat,Pure Heat,7,0,False,7,0.0,0.11544086021505377,False
For the Portuguese Goth Metal Bands,For the Portuguese Goth Metal Bands,7,0,False,7,0.0,0.11544086021505377,False
Bleed Out (song),Bleed Out (song),5,2,False,7,0.2857142857142857,0.2487741935483871,False
Nine Black Poppies,Nine Black Poppies,7,0,False,7,0.0,0.11544086021505377,False
Sinaloan Milk Snake Song,Sinaloan Milk Snake Song,6,1,False,7,0.14285714285714285,0.1821075268817204,False
Genesis 30:3,Genesis 30:3,7,0,False,7,0.0,0.11544086021505377,False
Genesis 3:23,Genesis 3:23,7,0,False,7,0.0,0.11544086021505377,False
The Last Limit of Bhakti,The Last Limit of Bhakti,6,0,False,6,0.0,0.12368663594470046,False
1 John 4:16,1 John 4:16,6,0,False,6,0.0,0.12368663594470046,False
The Monkey Song,The Monkey Song,5,1,False,6,0.16666666666666666,0.19511520737327187,False
Cobscook Bay,Cobscook Bay,6,0,False,6,0.0,0.12368663594470046,False
Waco,Waco,6,0,False,6,0.0,0.12368663594470046,False
Twin Human Highway Flares,Twin Human Highway Flares,6,0,False,6,0.0,0.12368663594470046,False
Horseradish Road,Horseradish Road,6,0,False,6,0.0,0.12368663594470046,False
Pale Green Things,Pale Green Things,6,0,False,6,0.0,0.12368663594470046,False
Surrounded,Surrounded,6,0,False,6,0.0,0.12368663594470046,False
Heel Turn 1,Heel Turn 1,6,0,False,6,0.0,0.12368663594470046,False
Seed Song,Seed Song,6,0,False,6,0.0,0.12368663594470046,False
Going to Port Washington,Going to Port Washington,6,0,False,6,0.0,0.12368663594470046,False
Going to Jamaica,Going to Jamaica,6,0,False,6,0.0,0.12368663594470046,False
Golden Boy,Golden Boy,2,4,False,6,0.6666666666666666,0.40940092165898617,False
Cheshire County,Cheshire County,6,0,False,6,0.0,0.12368663594470046,False
Enoch 18:14,Enoch 18:14,6,0,False,6,0.0,0.12368663594470046,False
Collapsing Stars,Collapsing Stars,6,0,False,6,0.0,0.12368663594470046,False
Orange Ball of Pain,Orange Ball of Pain,6,0,False,6,0.0,0.12368663594470046,False
Never Quite Free,Never Quite Free,6,0,False,6,0.0,0.12368663594470046,False
Lido Shuffle,Lido Shuffle,0,6,True,6,1.0,0.552258064516129,False
Distant Stations,Distant Stations,6,0,False,6,0.0,0.12368663594470046,False
US Mill,US Mill,5,0,False,5,0.0,0.13320099255583126,False
Waving at You,Waving at You,5,0,False,5,0.0,0.13320099255583126,False
Maize Stalk Drinking Blood,Maize Stalk Drinking Blood,5,0,False,5,0.0,0.13320099255583126,False
Weekend in Western Illinois,Weekend in Western Illinois,5,0,False,5,0.0,0.13320099255583126,False
Poltergeist,Poltergeist,5,0,False,5,0.0,0.13320099255583126,False
Quetzalcoatl Eats Plums,Quetzalcoatl Eats Plums,5,0,False,5,0.0,0.13320099255583126,False
Sign of the Crow 2,Sign of the Crow 2,5,0,False,5,0.0,0.13320099255583126,False
Going to Alaska,Going to Alaska,4,1,False,5,0.2,0.2101240694789082,False
Fault Lines,Fault Lines,5,0,False,5,0.0,0.13320099255583126,False
Yoga,Yoga,5,0,False,5,0.0,0.13320099255583126,False
The Only Thing I Know,The Only Thing I Know,5,0,False,5,0.0,0.13320099255583126,False
Torch Song,Torch Song,5,0,False,5,0.0,0.13320099255583126,False
Downtown Seoul,Downtown Seoul,5,0,False,5,0.0,0.13320099255583126,False
Cutter,Cutter,5,0,False,5,0.0,0.13320099255583126,False
Chanson du Bon Chose,Chanson du Bon Chose,5,0,False,5,0.0,0.13320099255583126,False
The House That Dripped Blood,The House That Dripped Blood,5,0,False,5,0.0,0.13320099255583126,False
Some Swedish Trees,Some Swedish Trees,5,0,False,5,0.0,0.13320099255583126,False
Ezekiel 7 and the Permanent Efficacy of Grace,Ezekiel 7 and the Permanent Efficacy of Grace,3,2,False,5,0.4,0.2870471464019851,False
Going to Scotland,Going to Scotland,5,0,False,5,0.0,0.13320099255583126,False
If You See Light,If You See Light,4,0,False,4,0.0,0.14430107526881722,False
Going to Bolivia,Going to Bolivia,4,0,False,4,0.0,0.14430107526881722,False
Going to Lebanon,Going to Lebanon,4,0,False,4,0.0,0.14430107526881722,False
Standing in Need of Prayer,Standing in Need of Prayer,4,0,True,4,0.0,0.14430107526881722,False
Going to Bristol,Going to Bristol,4,0,False,4,0.0,0.14430107526881722,False
Genesis 19:1-2,Genesis 19:1-2,4,0,False,4,0.0,0.14430107526881722,False
When a Powerful Animal Comes,When a Powerful Animal Comes,4,0,False,4,0.0,0.14430107526881722,False
Alpha Desperation March,Alpha Desperation March,4,0,False,4,0.0,0.14430107526881722,False
Keeping House,Keeping House,4,0,False,4,0.0,0.14430107526881722,False
Rotten Stinking Mouthpiece,Rotten Stinking Mouthpiece,4,0,False,4,0.0,0.14430107526881722,False
Shave My Eyebrows,Shave My Eyebrows,4,0,False,4,0.0,0.14430107526881722,False
I Will Grab You by the Ears,I Will Grab You by the Ears,4,0,False,4,0.0,0.14430107526881722,False
