show_id,date,tour,n_candidates,n_played,mean_surprisal_played_bits,cross_entropy_bits
"1997-06-14_-_Zoot's_-_Detroit,_MI",1997-06-14,Ornery As Pigs Tour 1997,172.0,15.0,2.736403661372627,0.32546708075949465
"1997-06-16_-_Club_Laga_-_Pittsburgh,_PA",1997-06-16,Ornery As Pigs Tour 1997,175.0,9.0,2.744601858552788,0.36899702100447235
"1997-06-17_-_Brownie's_-_New_York_City,_NY",1997-06-17,Ornery As Pigs Tour 1997,175.0,15.0,2.6936047053554018,0.35284480029291604
"1997-06-20_-_The_Black_Cat_-_Washington,_D.C.",1997-06-20,Ornery As Pigs Tour 1997,179.0,12.0,2.632817654006761,0.33244536097444904
"1997-06-21_-_Tokyo_Rose_-_Charlottesville,_VA",1997-06-21,Ornery As Pigs Tour 1997,182.0,17.0,3.359530209325438,0.46507361369914785
"1997-06-22_-_Cat's_Cradle_-_Carrboro,_NC",1997-06-22,Ornery As Pigs Tour 1997,183.0,20.0,2.6862383671706125,0.396573986742852
"1997-06-26_-_The_Empty_Bottle_-_Chicago,_IL",1997-06-26,Ornery As Pigs Tour 1997,186.0,10.0,2.5002832793205934,0.28358838748845666
"1997-07-16_-_Capitol_Theater_-_Olympia,_WA",1997-07-16,,187.0,16.0,2.880532944571798,0.3261374592567089
"1997-11-14_-_University_of_Wisconsin_Student_Union_-_Madison,_WI",1997-11-14,,189.0,17.0,3.011846282310063,0.35690779232900055
"1997-12-06_-_The_Empty_Bottle_-_Chicago,_IL",1997-12-06,,191.0,17.0,3.284568666308851,0.3876691693610214
"1998-02-06_-_Cow_Haus_-_Tallahassee,_FL",1998-02-06,,193.0,21.0,2.607814455004444,0.36229555374054384
"1998-02-07_-_Vinyl_Fever_-_Tallahassee,_FL",1998-02-07,,195.0,12.0,3.56359895674029,0.32709818256309336
"1998-04-04_-_Duke_Coffeehouse_-_Durham,_NC",1998-04-04,,196.0,22.0,3.066568818993704,0.4275632366961499
"1998-04-12_-_Brownie's_-_New_York_City,_NY",1998-04-12,,201.0,19.0,3.004648796100145,0.3887882386651444
"1998-04-17_-_Custer_Avenue_Stages_-_San_Francisco,_CA",1998-04-17,,203.0,16.0,2.613618939550969,0.30014412279486724
"1998-04-23_-_Black_Watch_Pub_-_Claremont,_CA",1998-04-23,,203.0,8.0,3.0992666904605617,0.22116697282984982
"1998-05-15_-_The_Empty_Bottle_-_Chicago,_IL",1998-05-15,,204.0,19.0,2.7035127862431487,0.32918437834031117
"1998-06-14_-_Detroit,_MI",1998-06-14,,204.0,18.0,3.46169757322981,0.3868873647170988
"1998-07-31_-_The_Empty_Bottle_-_Chicago,_IL",1998-07-31,,204.0,17.0,3.2303913920451244,0.34824767605805124
"1998-10-10_-_The_Rocket_Bar_-_St._Louis,_MO",1998-10-10,,207.0,12.0,4.287996710372314,0.35093520935066086
"1999-01-23_-_High_Hat_Blues_Club_-_Athens,_GA",1999-01-23,Eastern United States Tour 1999,209.0,18.0,2.957442548491303,0.34539074070897213
"1999-01-24_-_Echo_Lounge_-_Atlanta,_GA",1999-01-24,Eastern United States Tour 1999,211.0,14.0,2.7555907848575756,0.3777310265822982
"1999-01-27_-_Cat's_Cradle_-_Carrboro,_NC",1999-01-27,Eastern United States Tour 1999,211.0,18.0,2.2526024000336324,0.30601048659947316
"1999-01-29_-_Mercury_Paw_-_Louisville,_KY",1999-01-29,Eastern United States Tour 1999,214.0,14.0,2.825603776423616,0.33261250222273203
